TARGET_ID,INDIVIDUALS,STRATA,MY-NAME,Service_TYPE,origOrder,RC,SeqL,Plate_iD,Genotype,ttlc,GOML_n9683recall.TARGET_ID,TechReps,Comment
1801664,1801664_NOR_001_68361,NOR2017,ABT-NOR2017-NOR-001_1801664,SEQ,634,A1,910319000000,ABT_MixedTrial_01_ss20190523,68361,1948776,1801664,1,
1806896,1806896_NOR_001_68361,NOR2017,ABT-NOR2017-NOR-001_1806896,SEQ,911,A1,910319000000,ABT_MixedTrial_01_ss20190523,68361,1947551,1806896,0,
1801665,1801665_NOR_002_68362,NOR2017,ABT-NOR2017-NOR-002_1801665,SEQ,635,B1,910319000000,ABT_MixedTrial_01_ss20190523,68362,1962980,1801665,1,
1806897,1806897_NOR_002_68362,NOR2017,ABT-NOR2017-NOR-002_1806897,SEQ,912,B1,910319000000,ABT_MixedTrial_01_ss20190523,68362,1778974,1806897,0,
1801666,1801666_NOR_003_68363,NOR2017,ABT-NOR2017-NOR-003_1801666,SEQ,636,C1,910319000000,ABT_MixedTrial_01_ss20190523,68363,1985839,1801666,1,
1806898,1806898_NOR_003_68363,NOR2017,ABT-NOR2017-NOR-003_1806898,SEQ,913,C1,910319000000,ABT_MixedTrial_01_ss20190523,68363,1649466,1806898,0,
1801667,1801667_NOR_004_68364,NOR2017,ABT-NOR2017-NOR-004_1801667,SEQ,637,D1,910319000000,ABT_MixedTrial_01_ss20190523,68364,2000980,1801667,1,
1806899,1806899_NOR_004_68364,NOR2017,ABT-NOR2017-NOR-004_1806899,SEQ,914,D1,910319000000,ABT_MixedTrial_01_ss20190523,68364,1972945,1806899,0,
1801668,1801668_NOR_005_68365,NOR2017,ABT-NOR2017-NOR-005_1801668,SEQ,638,E1,910319000000,ABT_MixedTrial_01_ss20190523,68365,1897062,1801668,1,
1806900,1806900_NOR_005_68365,NOR2017,ABT-NOR2017-NOR-005_1806900,SEQ,915,E1,910319000000,ABT_MixedTrial_01_ss20190523,68365,1634637,1806900,0,
1801669,1801669_NOR_006_68366,NOR2017,ABT-NOR2017-NOR-006_1801669,SEQ,639,F1,910319000000,ABT_MixedTrial_01_ss20190523,68366,2129764,1801669,1,
1806901,1806901_NOR_006_68366,NOR2017,ABT-NOR2017-NOR-006_1806901,SEQ,916,F1,910319000000,ABT_MixedTrial_01_ss20190523,68366,1801238,1806901,0,
1801670,1801670_NOR_007_68367,NOR2017,ABT-NOR2017-NOR-007_1801670,SEQ,640,G1,910319000000,ABT_MixedTrial_01_ss20190523,68367,2032082,1801670,1,
1806902,1806902_NOR_007_68367,NOR2017,ABT-NOR2017-NOR-007_1806902,SEQ,917,G1,910319000000,ABT_MixedTrial_01_ss20190523,68367,1549385,1806902,0,
1801671,1801671_NOR_008_68368,NOR2017,ABT-NOR2017-NOR-008_1801671,SEQ,641,H1,910319000000,ABT_MixedTrial_01_ss20190523,68368,1808693,1801671,1,
1806903,1806903_NOR_008_68368,NOR2017,ABT-NOR2017-NOR-008_1806903,SEQ,918,H1,910319000000,ABT_MixedTrial_01_ss20190523,68368,1855568,1806903,0,
1801672,1801672_NOR_009_68369,NOR2017,ABT-NOR2017-NOR-009_1801672,SEQ,642,A2,910319000000,ABT_MixedTrial_01_ss20190523,68369,2020441,1801672,1,
1806904,1806904_NOR_009_68369,NOR2017,ABT-NOR2017-NOR-009_1806904,SEQ,919,A2,910319000000,ABT_MixedTrial_01_ss20190523,68369,1967185,1806904,0,
1801673,1801673_NOR_010_68370,NOR2017,ABT-NOR2017-NOR-010_1801673,SEQ,643,B2,910319000000,ABT_MixedTrial_01_ss20190523,68370,1928083,1801673,1,
1806905,1806905_NOR_010_68370,NOR2017,ABT-NOR2017-NOR-010_1806905,SEQ,920,B2,910319000000,ABT_MixedTrial_01_ss20190523,68370,1872887,1806905,0,
1801674,1801674_NOR_011_68371,NOR2017,ABT-NOR2017-NOR-011_1801674,SEQ,644,C2,910319000000,ABT_MixedTrial_01_ss20190523,68371,1824478,1801674,1,
1806906,1806906_NOR_011_68371,NOR2017,ABT-NOR2017-NOR-011_1806906,SEQ,921,C2,910319000000,ABT_MixedTrial_01_ss20190523,68371,1668913,1806906,0,
1801675,1801675_NOR_012_68372,NOR2017,ABT-NOR2017-NOR-012_1801675,SEQ,645,D2,910319000000,ABT_MixedTrial_01_ss20190523,68372,2028872,1801675,1,
1806907,1806907_NOR_012_68372,NOR2017,ABT-NOR2017-NOR-012_1806907,SEQ,922,D2,910319000000,ABT_MixedTrial_01_ss20190523,68372,1955462,1806907,0,
1801676,1801676_NOR_013_68373,NOR2017,ABT-NOR2017-NOR-013_1801676,SEQ,646,E2,910319000000,ABT_MixedTrial_01_ss20190523,68373,1870331,1801676,1,
1806908,1806908_NOR_013_68373,NOR2017,ABT-NOR2017-NOR-013_1806908,SEQ,923,E2,910319000000,ABT_MixedTrial_01_ss20190523,68373,1728556,1806908,0,
1801677,1801677_NOR_014_68374,NOR2017,ABT-NOR2017-NOR-014_1801677,SEQ,647,F2,910319000000,ABT_MixedTrial_01_ss20190523,68374,1540287,1801677,1,
1806909,1806909_NOR_014_68374,NOR2017,ABT-NOR2017-NOR-014_1806909,SEQ,924,F2,910319000000,ABT_MixedTrial_01_ss20190523,68374,1648477,1806909,0,
1801678,1801678_NOR_015_68375,NOR2017,ABT-NOR2017-NOR-015_1801678,SEQ,648,G2,910319000000,ABT_MixedTrial_01_ss20190523,68375,1946000,1801678,1,
1806910,1806910_NOR_015_68375,NOR2017,ABT-NOR2017-NOR-015_1806910,SEQ,925,G2,910319000000,ABT_MixedTrial_01_ss20190523,68375,1640972,1806910,0,
1801679,1801679_NOR_016_68376,NOR2017,ABT-NOR2017-NOR-016_1801679,SEQ,649,H2,910319000000,ABT_MixedTrial_01_ss20190523,68376,2023856,1801679,1,
1806911,1806911_NOR_016_68376,NOR2017,ABT-NOR2017-NOR-016_1806911,SEQ,926,H2,910319000000,ABT_MixedTrial_01_ss20190523,68376,1950788,1806911,0,
1801680,1801680_NOR_017_68377,NOR2017,ABT-NOR2017-NOR-017_1801680,SEQ,650,A3,910319000000,ABT_MixedTrial_01_ss20190523,68377,1980381,1801680,1,
1806912,1806912_NOR_017_68377,NOR2017,ABT-NOR2017-NOR-017_1806912,SEQ,927,A3,910319000000,ABT_MixedTrial_01_ss20190523,68377,1756403,1806912,0,
1801681,1801681_NOR_018_68378,NOR2017,ABT-NOR2017-NOR-018_1801681,SEQ,651,B3,910319000000,ABT_MixedTrial_01_ss20190523,68378,1079089,1801681,1,
1806913,1806913_NOR_018_68378,NOR2017,ABT-NOR2017-NOR-018_1806913,SEQ,928,B3,910319000000,ABT_MixedTrial_01_ss20190523,68378,1252720,1806913,0,
1801682,1801682_NOR_019_68379,NOR2017,ABT-NOR2017-NOR-019_1801682,SEQ,652,C3,910319000000,ABT_MixedTrial_01_ss20190523,68379,1913484,1801682,1,
1806914,1806914_NOR_019_68379,NOR2017,ABT-NOR2017-NOR-019_1806914,SEQ,929,C3,910319000000,ABT_MixedTrial_01_ss20190523,68379,1882916,1806914,0,
1801683,1801683_NOR_020_68380,NOR2017,ABT-NOR2017-NOR-020_1801683,SEQ,653,D3,910319000000,ABT_MixedTrial_01_ss20190523,68380,1866142,1801683,1,
1806915,1806915_NOR_020_68380,NOR2017,ABT-NOR2017-NOR-020_1806915,SEQ,930,D3,910319000000,ABT_MixedTrial_01_ss20190523,68380,1733601,1806915,0,
1801684,1801684_NOR_021_68381,NOR2017,ABT-NOR2017-NOR-021_1801684,SEQ,654,E3,910319000000,ABT_MixedTrial_01_ss20190523,68381,1911529,1801684,1,
1806916,1806916_NOR_021_68381,NOR2017,ABT-NOR2017-NOR-021_1806916,SEQ,931,E3,910319000000,ABT_MixedTrial_01_ss20190523,68381,1702304,1806916,0,
1801685,1801685_NOR_022_68382,NOR2017,ABT-NOR2017-NOR-022_1801685,SEQ,655,F3,910319000000,ABT_MixedTrial_01_ss20190523,68382,1845085,1801685,1,
1806917,1806917_NOR_022_68382,NOR2017,ABT-NOR2017-NOR-022_1806917,SEQ,932,F3,910319000000,ABT_MixedTrial_01_ss20190523,68382,1775219,1806917,0,
1801686,1801686_NOR_023_68383,NOR2017,ABT-NOR2017-NOR-023_1801686,SEQ,656,G3,910319000000,ABT_MixedTrial_01_ss20190523,68383,1681950,1801686,1,
1806918,1806918_NOR_023_68383,NOR2017,ABT-NOR2017-NOR-023_1806918,SEQ,933,G3,910319000000,ABT_MixedTrial_01_ss20190523,68383,1861784,1806918,0,
1801687,1801687_NOR_024_68384,NOR2017,ABT-NOR2017-NOR-024_1801687,SEQ,657,H3,910319000000,ABT_MixedTrial_01_ss20190523,68384,1802389,1801687,1,
1806919,1806919_NOR_024_68384,NOR2017,ABT-NOR2017-NOR-024_1806919,SEQ,934,H3,910319000000,ABT_MixedTrial_01_ss20190523,68384,1790323,1806919,0,
1801688,1801688_NOR_025_68385,NOR2017,ABT-NOR2017-NOR-025_1801688,SEQ,658,A4,910319000000,ABT_MixedTrial_01_ss20190523,68385,2010776,1801688,1,
1801689,1801689_NOR_026_68386,NOR2017,ABT-NOR2017-NOR-026_1801689,SEQ,659,B4,910319000000,ABT_MixedTrial_01_ss20190523,68386,2092411,1801689,1,
1801690,1801690_NOR_027_68387,NOR2017,ABT-NOR2017-NOR-027_1801690,SEQ,660,C4,910319000000,ABT_MixedTrial_01_ss20190523,68387,2111187,1801690,1,
1801691,1801691_NOR_028_68388,NOR2017,ABT-NOR2017-NOR-028_1801691,SEQ,661,D4,910319000000,ABT_MixedTrial_01_ss20190523,68388,2305855,1801691,1,
1801692,1801692_NOR_029_68389,NOR2017,ABT-NOR2017-NOR-029_1801692,SEQ,662,E4,910319000000,ABT_MixedTrial_01_ss20190523,68389,1820087,1801692,1,
1801693,1801693_NOR_030_68390,NOR2017,ABT-NOR2017-NOR-030_1801693,SEQ,663,F4,910319000000,ABT_MixedTrial_01_ss20190523,68390,2009444,1801693,1,
1801694,1801694_NOR_031_68391,NOR2017,ABT-NOR2017-NOR-031_1801694,SEQ,664,G4,910319000000,ABT_MixedTrial_01_ss20190523,68391,1866153,1801694,1,
1801695,1801695_NOR_032_68392,NOR2017,ABT-NOR2017-NOR-032_1801695,SEQ,665,H4,910319000000,ABT_MixedTrial_01_ss20190523,68392,1776555,1801695,1,
1801696,1801696_NOR_033_68393,NOR2017,ABT-NOR2017-NOR-033_1801696,SEQ,666,A5,910319000000,ABT_MixedTrial_01_ss20190523,68393,2003432,1801696,1,
1801697,1801697_NOR_034_68394,NOR2017,ABT-NOR2017-NOR-034_1801697,SEQ,667,B5,910319000000,ABT_MixedTrial_01_ss20190523,68394,1953211,1801697,1,
1801698,1801698_NOR_035_68395,NOR2017,ABT-NOR2017-NOR-035_1801698,SEQ,668,C5,910319000000,ABT_MixedTrial_01_ss20190523,68395,1960576,1801698,1,
1801699,1801699_NOR_036_68396,NOR2017,ABT-NOR2017-NOR-036_1801699,SEQ,669,D5,910319000000,ABT_MixedTrial_01_ss20190523,68396,1997359,1801699,1,
1801700,1801700_NOR_037_68397,NOR2017,ABT-NOR2017-NOR-037_1801700,SEQ,670,E5,910319000000,ABT_MixedTrial_01_ss20190523,68397,1741711,1801700,1,
1801701,1801701_NOR_038_68398,NOR2017,ABT-NOR2017-NOR-038_1801701,SEQ,671,F5,910319000000,ABT_MixedTrial_01_ss20190523,68398,1971191,1801701,1,
1801702,1801702_NOR_039_68399,NOR2017,ABT-NOR2017-NOR-039_1801702,SEQ,672,G5,910319000000,ABT_MixedTrial_01_ss20190523,68399,2037942,1801702,1,
1801703,1801703_NOR_040_68400,NOR2017,ABT-NOR2017-NOR-040_1801703,SEQ,673,H5,910319000000,ABT_MixedTrial_01_ss20190523,68400,2234323,1801703,1,
1801704,1801704__NOR_041_68401,NOR2017,ABT-NOR2017-NOR-041_1801704,SEQ,674,A6,910319000000,ABT_MixedTrial_01_ss20190523,68401,2075605,1801704,1,
1801705,1801705__NOR_042_68402,NOR2017,ABT-NOR2017-NOR-042_1801705,SEQ,675,B6,910319000000,ABT_MixedTrial_01_ss20190523,68402,2169731,1801705,1,
1801706,1801706__NOR_043_68403,NOR2017,ABT-NOR2017-NOR-043_1801706,SEQ,676,C6,910319000000,ABT_MixedTrial_01_ss20190523,68403,2053227,1801706,1,
1801707,1801707__NOR_044_68404,NOR2017,ABT-NOR2017-NOR-044_1801707,SEQ,677,D6,910319000000,ABT_MixedTrial_01_ss20190523,68404,1813754,1801707,1,
1801708,1801708__NOR_045_68405,NOR2017,ABT-NOR2017-NOR-045_1801708,SEQ,678,E6,910319000000,ABT_MixedTrial_01_ss20190523,68405,2209001,1801708,1,
1801709,1801709__NOR_046_68406,NOR2017,ABT-NOR2017-NOR-046_1801709,SEQ,679,F6,910319000000,ABT_MixedTrial_01_ss20190523,68406,1919063,1801709,1,
1801710,1801710__NOR_047_68407,NOR2017,ABT-NOR2017-NOR-047_1801710,SEQ,680,G6,910319000000,ABT_MixedTrial_01_ss20190523,68407,2222251,1801710,1,
1801711,1801711__NOR_048_68408,NOR2017,ABT-NOR2017-NOR-048_1801711,SEQ,681,H6,910319000000,ABT_MixedTrial_01_ss20190523,68408,1924850,1801711,1,
1801712,1801712__NOR_049_68409,NOR2017,ABT-NOR2017-NOR-049_1801712,SEQ,682,A7,910319000000,ABT_MixedTrial_01_ss20190523,68409,2084378,1801712,1,
1801713,1801713__NOR_050_68410,NOR2017,ABT-NOR2017-NOR-050_1801713,SEQ,683,B7,910319000000,ABT_MixedTrial_01_ss20190523,68410,1855765,1801713,1,
1801714,1801714__NOR_051_68411,NOR2017,ABT-NOR2017-NOR-051_1801714,SEQ,684,C7,910319000000,ABT_MixedTrial_01_ss20190523,68411,2269200,1801714,1,
1801715,1801715__NOR_052_68412,NOR2017,ABT-NOR2017-NOR-052_1801715,SEQ,685,D7,910319000000,ABT_MixedTrial_01_ss20190523,68412,1938991,1801715,1,
1801716,1801716__NOR_053_68413,NOR2017,ABT-NOR2017-NOR-053_1801716,SEQ,686,E7,910319000000,ABT_MixedTrial_01_ss20190523,68413,1906333,1801716,1,
1801717,1801717__NOR_054_68414,NOR2017,ABT-NOR2017-NOR-054_1801717,SEQ,687,F7,910319000000,ABT_MixedTrial_01_ss20190523,68414,1993632,1801717,1,
1801718,1801718__NOR_055_68415,NOR2017,ABT-NOR2017-NOR-055_1801718,SEQ,688,G7,910319000000,ABT_MixedTrial_01_ss20190523,68415,2087367,1801718,1,
1801719,1801719__NOR_056_68416,NOR2017,ABT-NOR2017-NOR-056_1801719,SEQ,689,H7,910319000000,ABT_MixedTrial_01_ss20190523,68416,1929601,1801719,1,
1801720,1801720__NOR_057_68417,NOR2017,ABT-NOR2017-NOR-057_1801720,SEQ,690,A8,910319000000,ABT_MixedTrial_01_ss20190523,68417,2008517,1801720,1,
1801721,1801721__NOR_058_68418,NOR2017,ABT-NOR2017-NOR-058_1801721,SEQ,691,B8,910319000000,ABT_MixedTrial_01_ss20190523,68418,2130811,1801721,1,
1801722,1801722__NOR_059_68419,NOR2017,ABT-NOR2017-NOR-059_1801722,SEQ,692,C8,910319000000,ABT_MixedTrial_01_ss20190523,68419,1971442,1801722,1,
1801723,1801723__NOR_060_68420,NOR2017,ABT-NOR2017-NOR-060_1801723,SEQ,693,D8,910319000000,ABT_MixedTrial_01_ss20190523,68420,2135071,1801723,1,
1801724,1801724__NOR_061_68421,NOR2017,ABT-NOR2017-NOR-061_1801724,SEQ,694,E8,910319000000,ABT_MixedTrial_01_ss20190523,68421,1774344,1801724,1,
1801725,1801725__NOR_062_68422,NOR2017,ABT-NOR2017-NOR-062_1801725,SEQ,695,F8,910319000000,ABT_MixedTrial_01_ss20190523,68422,2138974,1801725,1,
1801726,1801726__NOR_063_68423,NOR2017,ABT-NOR2017-NOR-063_1801726,SEQ,696,G8,910319000000,ABT_MixedTrial_01_ss20190523,68423,1968330,1801726,1,
1801727,1801727__NOR_064_68424,NOR2017,ABT-NOR2017-NOR-064_1801727,SEQ,697,H8,910319000000,ABT_MixedTrial_01_ss20190523,68424,1877148,1801727,1,
1801728,1801728__NOR_065_68425,NOR2017,ABT-NOR2017-NOR-065_1801728,SEQ,698,A9,910319000000,ABT_MixedTrial_01_ss20190523,68425,2121286,1801728,1,
1801729,1801729__NOR_066_68426,NOR2017,ABT-NOR2017-NOR-066_1801729,SEQ,699,B9,910319000000,ABT_MixedTrial_01_ss20190523,68426,2174748,1801729,1,
1801730,1801730__NOR_067_68427,NOR2017,ABT-NOR2017-NOR-067_1801730,SEQ,700,C9,910319000000,ABT_MixedTrial_01_ss20190523,68427,1845720,1801730,1,
1801731,1801731__NOR_068_68428,NOR2017,ABT-NOR2017-NOR-068_1801731,SEQ,701,D9,910319000000,ABT_MixedTrial_01_ss20190523,68428,2025817,1801731,1,
1801732,1801732__NOR_069_68429,NOR2017,ABT-NOR2017-NOR-069_1801732,SEQ,702,E9,910319000000,ABT_MixedTrial_01_ss20190523,68429,1961871,1801732,1,
1801733,1801733__NOR_070_68430,NOR2017,ABT-NOR2017-NOR-070_1801733,SEQ,703,F9,910319000000,ABT_MixedTrial_01_ss20190523,68430,2123387,1801733,1,
1801734,1801734__NOR_071_68431,NOR2017,ABT-NOR2017-NOR-071_1801734,SEQ,704,G9,910319000000,ABT_MixedTrial_01_ss20190523,68431,1962538,1801734,1,
1801735,1801735__NOR_072_68432,NOR2017,ABT-NOR2017-NOR-072_1801735,SEQ,705,H9,910319000000,ABT_MixedTrial_01_ss20190523,68432,2030776,1801735,1,
1801736,1801736__NOR_073_68433,NOR2017,ABT-NOR2017-NOR-073_1801736,SEQ,706,A10,910319000000,ABT_MixedTrial_01_ss20190523,68433,1940138,1801736,1,
1801737,1801737__NOR_074_68434,NOR2017,ABT-NOR2017-NOR-074_1801737,SEQ,707,B10,910319000000,ABT_MixedTrial_01_ss20190523,68434,2051227,1801737,1,
1801738,1801738__NOR_075_68435,NOR2017,ABT-NOR2017-NOR-075_1801738,SEQ,708,C10,910319000000,ABT_MixedTrial_01_ss20190523,68435,1968187,1801738,1,
1801739,1801739__NOR_076_68436,NOR2017,ABT-NOR2017-NOR-076_1801739,SEQ,709,D10,910319000000,ABT_MixedTrial_01_ss20190523,68436,1815966,1801739,1,
1801740,1801740__NOR_077_68437,NOR2017,ABT-NOR2017-NOR-077_1801740,SEQ,710,E10,910319000000,ABT_MixedTrial_01_ss20190523,68437,1802026,1801740,1,
1801741,1801741__NOR_078_68438,NOR2017,ABT-NOR2017-NOR-078_1801741,SEQ,711,F10,910319000000,ABT_MixedTrial_01_ss20190523,68438,2036741,1801741,1,
1801742,1801742__NOR_079_68439,NOR2017,ABT-NOR2017-NOR-079_1801742,SEQ,712,G10,910319000000,ABT_MixedTrial_01_ss20190523,68439,2004449,1801742,1,
1801743,1801743__NOR_080_68440,NOR2017,ABT-NOR2017-NOR-080_1801743,SEQ,713,H10,910319000000,ABT_MixedTrial_01_ss20190523,68440,1710331,1801743,1,
1801744,1801744__NOR_081_68441,NOR2017,ABT-NOR2017-NOR-081_1801744,SEQ,714,A11,910319000000,ABT_MixedTrial_01_ss20190523,68441,2019727,1801744,1,
1801745,1801745__NOR_082_68442,NOR2017,ABT-NOR2017-NOR-082_1801745,SEQ,715,B11,910319000000,ABT_MixedTrial_01_ss20190523,68442,2047789,1801745,1,
1801746,1801746__NOR_083_68443,NOR2017,ABT-NOR2017-NOR-083_1801746,SEQ,716,C11,910319000000,ABT_MixedTrial_01_ss20190523,68443,1993317,1801746,1,
1801747,1801747__NOR_084_68444,NOR2017,ABT-NOR2017-NOR-084_1801747,SEQ,717,D11,910319000000,ABT_MixedTrial_01_ss20190523,68444,2087770,1801747,1,
1801748,1801748__NOR_085_68445,NOR2017,ABT-NOR2017-NOR-085_1801748,SEQ,718,E11,910319000000,ABT_MixedTrial_01_ss20190523,68445,2033710,1801748,1,
1801749,1801749__NOR_086_68446,NOR2017,ABT-NOR2017-NOR-086_1801749,SEQ,719,F11,910319000000,ABT_MixedTrial_01_ss20190523,68446,1926670,1801749,1,
1801750,1801750__NOR_087_68447,NOR2017,ABT-NOR2017-NOR-087_1801750,SEQ,720,G11,910319000000,ABT_MixedTrial_01_ss20190523,68447,1894340,1801750,1,
1801751,1801751__NOR_088_68448,NOR2017,ABT-NOR2017-NOR-088_1801751,SEQ,721,H11,910319000000,ABT_MixedTrial_01_ss20190523,68448,2054201,1801751,1,
1801752,1801752__NOR_089_68449,NOR2017,ABT-NOR2017-NOR-089_1801752,SEQ,722,A12,910319000000,ABT_MixedTrial_01_ss20190523,68449,2084354,1801752,1,
1801753,1801753__NOR_090_68450,NOR2017,ABT-NOR2017-NOR-090_1801753,SEQ,723,B12,910319000000,ABT_MixedTrial_01_ss20190523,68450,2223067,1801753,1,
1801754,1801754__NOR_091_68451,NOR2017,ABT-NOR2017-NOR-091_1801754,SEQ,724,C12,910319000000,ABT_MixedTrial_01_ss20190523,68451,2224636,1801754,1,
1801755,1801755__NOR_092_68452,NOR2017,ABT-NOR2017-NOR-092_1801755,SEQ,725,D12,910319000000,ABT_MixedTrial_01_ss20190523,68452,2010721,1801755,1,
1801756,1801756__NOR_093_68453,NOR2017,ABT-NOR2017-NOR-093_1801756,SEQ,726,E12,910319000000,ABT_MixedTrial_01_ss20190523,68453,2475903,1801756,1,
1801757,1801757__NOR_094_68454,NOR2017,ABT-NOR2017-NOR-094_1801757,SEQ,727,F12,910319000000,ABT_MixedTrial_01_ss20190523,68454,1929823,1801757,1,
1801758,1801758__NOR_049_68455,NOR2017,ABT-NOR2017-NOR-049_1801758,SEQ,728,A1,910319000000,ABT_Norway2017_1_2_ss20190612_03,68455,2123880,1801758,1,
1801759,1801759__NOR_050_68456,NOR2017,ABT-NOR2017-NOR-050_1801759,SEQ,729,B1,910319000000,ABT_Norway2017_1_2_ss20190612_03,68456,1742757,1801759,1,
1801760,1801760__NOR_051_68457,NOR2017,ABT-NOR2017-NOR-051_1801760,SEQ,730,C1,910319000000,ABT_Norway2017_1_2_ss20190612_03,68457,2238318,1801760,1,
1801761,1801761__NOR_052_68458,NOR2017,ABT-NOR2017-NOR-052_1801761,SEQ,731,D1,910319000000,ABT_Norway2017_1_2_ss20190612_03,68458,1953968,1801761,1,
1801762,1801762__NOR_053_68459,NOR2017,ABT-NOR2017-NOR-053_1801762,SEQ,732,E1,910319000000,ABT_Norway2017_1_2_ss20190612_03,68459,2136560,1801762,1,
1801763,1801763__NOR_054_68460,NOR2017,ABT-NOR2017-NOR-054_1801763,SEQ,733,F1,910319000000,ABT_Norway2017_1_2_ss20190612_03,68460,2110528,1801763,1,
1801764,1801764__NOR_055_68461,NOR2017,ABT-NOR2017-NOR-055_1801764,SEQ,734,G1,910319000000,ABT_Norway2017_1_2_ss20190612_03,68461,2007928,1801764,1,
1801765,1801765__NOR_056_68462,NOR2017,ABT-NOR2017-NOR-056_1801765,SEQ,735,H1,910319000000,ABT_Norway2017_1_2_ss20190612_03,68462,1811251,1801765,1,
1801766,1801766__NOR_057_68463,NOR2017,ABT-NOR2017-NOR-057_1801766,SEQ,736,A2,910319000000,ABT_Norway2017_1_2_ss20190612_03,68463,1880648,1801766,1,
1801767,1801767__NOR_058_68464,NOR2017,ABT-NOR2017-NOR-058_1801767,SEQ,737,B2,910319000000,ABT_Norway2017_1_2_ss20190612_03,68464,2234397,1801767,1,
1801768,1801768__NOR_059_68465,NOR2017,ABT-NOR2017-NOR-059_1801768,SEQ,738,C2,910319000000,ABT_Norway2017_1_2_ss20190612_03,68465,2187502,1801768,1,
1801769,1801769__NOR_060_68466,NOR2017,ABT-NOR2017-NOR-060_1801769,SEQ,739,D2,910319000000,ABT_Norway2017_1_2_ss20190612_03,68466,1848624,1801769,1,
1801770,1801770__NOR_063_68467,NOR2017,ABT-NOR2017-NOR-063_1801770,SEQ,740,E2,910319000000,ABT_Norway2017_1_2_ss20190612_03,68467,1848512,1801770,1,
1801771,1801771__NOR_064_68468,NOR2017,ABT-NOR2017-NOR-064_1801771,SEQ,741,F2,910319000000,ABT_Norway2017_1_2_ss20190612_03,68468,2103409,1801771,1,
1801772,1801772__NOR_065_68469,NOR2017,ABT-NOR2017-NOR-065_1801772,SEQ,742,G2,910319000000,ABT_Norway2017_1_2_ss20190612_03,68469,1883412,1801772,1,
1801773,1801773__NOR_066_68470,NOR2017,ABT-NOR2017-NOR-066_1801773,SEQ,743,H2,910319000000,ABT_Norway2017_1_2_ss20190612_03,68470,1953039,1801773,1,
1801774,1801774__NOR_067_68471,NOR2017,ABT-NOR2017-NOR-067_1801774,SEQ,744,A3,910319000000,ABT_Norway2017_1_2_ss20190612_03,68471,1619684,1801774,1,
1801775,1801775__NOR_068_68472,NOR2017,ABT-NOR2017-NOR-068_1801775,SEQ,745,B3,910319000000,ABT_Norway2017_1_2_ss20190612_03,68472,2040673,1801775,1,
1801776,1801776__NOR_069_68473,NOR2017,ABT-NOR2017-NOR-069_1801776,SEQ,746,C3,910319000000,ABT_Norway2017_1_2_ss20190612_03,68473,1852938,1801776,1,
1801777,1801777__NOR_070_68474,NOR2017,ABT-NOR2017-NOR-070_1801777,SEQ,747,D3,910319000000,ABT_Norway2017_1_2_ss20190612_03,68474,1984314,1801777,1,
1801778,1801778__NOR_071_68475,NOR2017,ABT-NOR2017-NOR-071_1801778,SEQ,748,E3,910319000000,ABT_Norway2017_1_2_ss20190612_03,68475,2040414,1801778,1,
1801779,1801779__NOR_072_68476,NOR2017,ABT-NOR2017-NOR-072_1801779,SEQ,749,F3,910319000000,ABT_Norway2017_1_2_ss20190612_03,68476,2097457,1801779,1,
1801780,1801780__NOR_073_68477,NOR2017,ABT-NOR2017-NOR-073_1801780,SEQ,750,G3,910319000000,ABT_Norway2017_1_2_ss20190612_03,68477,1936631,1801780,1,
1801781,1801781__NOR_074_68478,NOR2017,ABT-NOR2017-NOR-074_1801781,SEQ,751,H3,910319000000,ABT_Norway2017_1_2_ss20190612_03,68478,1994328,1801781,1,
1801782,1801782__NOR_075_68479,NOR2017,ABT-NOR2017-NOR-075_1801782,SEQ,752,A4,910319000000,ABT_Norway2017_1_2_ss20190612_03,68479,2061363,1801782,1,
1806920,1806920__NOR_075_68479,NOR2017,ABT-NOR2017-NOR-075_1806920,SEQ,935,A4,910319000000,ABT_Norway2017_1_2_ss20190612_03,68479,1783787,1806920,0,
1801783,1801783__NOR_076_68480,NOR2017,ABT-NOR2017-NOR-076_1801783,SEQ,753,B4,910319000000,ABT_Norway2017_1_2_ss20190612_03,68480,2111047,1801783,1,
1806921,1806921__NOR_076_68480,NOR2017,ABT-NOR2017-NOR-076_1806921,SEQ,936,B4,910319000000,ABT_Norway2017_1_2_ss20190612_03,68480,1677870,1806921,0,
1801784,1801784__NOR_077_68481,NOR2017,ABT-NOR2017-NOR-077_1801784,SEQ,754,C4,910319000000,ABT_Norway2017_1_2_ss20190612_03,68481,1939473,1801784,1,
1806922,1806922__NOR_077_68481,NOR2017,ABT-NOR2017-NOR-077_1806922,SEQ,937,C4,910319000000,ABT_Norway2017_1_2_ss20190612_03,68481,1757448,1806922,0,
1801785,1801785__NOR_078_68482,NOR2017,ABT-NOR2017-NOR-078_1801785,SEQ,755,D4,910319000000,ABT_Norway2017_1_2_ss20190612_03,68482,1907730,1801785,1,
1806923,1806923__NOR_078_68482,NOR2017,ABT-NOR2017-NOR-078_1806923,SEQ,938,D4,910319000000,ABT_Norway2017_1_2_ss20190612_03,68482,1681677,1806923,0,
1801786,1801786__NOR_079_68483,NOR2017,ABT-NOR2017-NOR-079_1801786,SEQ,756,E4,910319000000,ABT_Norway2017_1_2_ss20190612_03,68483,2102302,1801786,1,
